id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
4445,dzwar,dzwar,NOUN,7_f-i,Suspicious IA etymology *jugakāra,,"сельская взаимопомощь при сезонных работах dzwaru n2_m-V когда вся деревня помогает односу из членов общины, практика, принятая в прежние времена, когда не было денег collective work among villagers сельская помочь",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4446,dzwaɽ,dzwaɽ,NOUN,4_m-C,OIA*ujjāṭa- *ujjāṭayati,damage to crops caused by cattle,потрава Dzʰ dzʰ dzʰakɳa vtpeep подсматривать dzʰaɽɳa vt1) сбивать плоды с дерева 2) cut branches of a treeобрубать ветки дерева dzʰaʈaadj them. playfulшаловливый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4447,dzʰaz,dzhaz,NOUN,7_f-iпри,"Arab, Hin jaha ̄z",,"затекании. от крапивы - tsuɳtsuɳi tingling, pricky feeling1 1 216 of 40 7/7/2023 9:52 PM покалывание, онемение dzʰɛʈ kɛrna (Mandeali, ɛ/ɐ IA language, Punjabi jhaṭ karna < jhaṭṭ karnā < *jhaṭṭ ) vbe quick спешить",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4448,dzʰik,dzhik,NOUN,5_f-Cangerгнев,Suspicious IA etymology*jhikk,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4449,dzʰir,dzhir,NOUN,5_f-Cwooden,Suspicious IA etymology *jhikk,splinter provoking pain under one's skin,заноза,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4450,dzʰir,dzhir,NOUN,5_f-Crags,"Suspicious IA etymology*citth ʻ pound, tear ʼ, cī́ra n. 'strip (of bark or cloth",,лохмотья,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4451,dzʰiɽi,dzhiɽi,NOUN,3_f-Vprickly,"jhāṭa ʻ forest, arbour ʼ / *jhiṭṭa / **jhiṭa",bush,"колючий кустарник, заросли",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4452,dzʰiuɳ,dzhiuɳ,NOUN,4_m-C,Bad OIAjī́vana,trunk supporting creepers,подпорка для вьющихся растений,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4453,dzʰɔkəɽ,dzhɔkəɽ,NOUN,4_m-C,OIA*jhakk-⁵,bush,куст,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4454,dzʰɔ̃kʰ,dzhɔkh,,,Bad OIA word *jhakk¹,n5_f-Canxiety,беспокойство,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4455,dzʰɔɽna,dzhɔɽna,,,OIA*jhaṭati,vi1) fall,падать 2) slideпоскальзываться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4456,dzʰukɳa,dzhukɳa,,,OIA*jhukkati,vibend down,наклоняться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4457,dzʰula,dzhula,NOUN,1_m-a,Bad OIA word*jhōlla,cradle,колыбель dzʰulna vi1) swing качаться jhūlna2) wave волноваться dzʰumku n 2_m-V ear pendant висячая серьга,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4458,dzʰuri,dzhuri,NOUN,3_f-Vloveлюбовь,OIA*jhurati / *jhūrati,Dʒ dʒ,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4459,dʒatʃ,dʒatʃ,NOUN,5_f-C1),OIAyāˊtrā,feast,праздник 2) fair ярмарка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4460,dʒel,dʒel,NOUN,4_m-C,Eng jail,prison,тюрьма,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4461,dʒɛiɳɖi,dʒɛiɳɖi,NOUN,3_f-Vsparrowворобей,Unknown caṭaka X *jhuṇṭa X dardru,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4462,dʒɛnta,dʒɛnta,NOUN,6_f-apeople,"Skr, Hinjanata ̄",,народ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4463,dʒɛnwəri,dʒɛnwəri,NOUN,3_f-VJanuary,Eng January,,январь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4464,dʒəɽkaɳa,dʒəɽkaɳa,,,OIA*draṭ,vtthreaten,угрожать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4465,dʒiʃ,dʒiʃ,,,Skrdŕ̊śīka,n5_f-Cearly morning,раннее утро,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4466,dʒiʃa,dʒiʃa,NOUN,6_f-aearly,OIAdŕ̊śīka,morning,раннее утро1 217 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4467,dʒɔɭ,dʒɔɭ,,,Suspicious IA etymology jáṭā *jhalla jhāṭa,n4_m-C stony field,каменистое поле dʒɔtʃɳa vtyoke запрягать в ярмо,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4468,dʒugla,dʒugla,NOUN,1_m-a,OIAdurgá,tunnel,тунель,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4469,dʒugli,dʒugli,NOUN,3_f-Vcave,OIAdurgá,,пещера,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4470,dʒugnu,dʒugnu,,,"Hin, Skrjugnu < jaganu","n2_m-V glow worm, firefly","светлячок dʒwab deɳa (Hin, Pers, Arab javāb <  jawāb ) vreply отвечать Dʒʰ dʒʰ",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4471,dʒʰaũ,dʒhau,,,Bad OIAúdyāti ?  †*ujjhāpayati?,advup up,наверх,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4472,dʒʰikɽa,dʒhikɽa,,,"Suspicious IA etymology*citth ʻ pound, tear ʼ, *likka  ʻ defective ʼ, *thigga ʻ rag ʼ",n1_m-a clothes,одежда,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4473,dʒʰil,dʒhil,NOUN,5_f-Clakeозеро,Hin jhil < *jhilla,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4474,dʒʰintʃɳi,dʒhintʃɳi,NOUN,3_f-Vrope,Bad OIA word *jhiṅk-,swing,верёвочные качели,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4475,dʒʰipʰ,dʒhiph,,,Bad OIA *jhuppa²,n4_m-Csg thicket of bushes or grass thicket,заросли,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4476,dʒʰɔ̃pɽi,dʒhɔpɽi,NOUN,3_f-Vhut,NT IA language *jhamp,,хижина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4477,dʒʰɔɽi,dʒhɔɽi,NOUN,3_f-Vwrinkle,Suspicious IA etymology cf. N cāuri,,морщина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4478,dʒʰɔʈiɳa,dʒhɔʈiɳa,,,OIA*jhaṭṭ,"vifight, quarrel",ссориться dʒʰuʈɳa vtdrink  пить pīna Ɖ ɖ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4479,ɖabra,ɖabra,,,compensatory lenghtening IA language*ḍabbara,n1_m-a big bowl for kneading dough,большой таз для теста ɖãgn 4_m-C stick палка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4480,ɖahɳa,ɖahɳa,,,Bad OIA word dádhāti,1) vtput,класть 2) auxTERM TERM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4481,ɖaiɳ,ɖaiɳ,NOUN,7_f-iwitch,OIAḍākínī,(abusing word for woman),ругательство о кошке или женщине,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4482,ɖaku,ɖaku,NOUN,2_m-V,OIA*ḍākka,robber,разбойник,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4483,ɖaɭ,ɖaɭ,,,OIAḍāla,n4_m-C branch,ветка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4484,ɖana,ɖana,NOUN,1_m-a,Suspicious IA etymologyāṇḍá + met,egg,яйцо ɖaɳɖʰn 4_m-C 1) belly живот 2) stomach желудок18 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4485,ɖãpʰɳa,ɖaphɳa,,,Bad OIA*ḍhamp-,vtdeceive,обманывать dhokha dena,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4486,ɖɐɳɖa-kuɳɖi,ɖɐɳɖa-kuɳɖi,NOUN,1_m-a,"Bad OIA word, ɛ/ɐ IA languagedaṇḍá + kuṇḍá",pestle and mortar,пестик и ступка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4487,ɖẽga,ɖega,ADJ,,Bad OIA word *ḍaṅga- / *ḍēṅga-,them. curved,наклонный  ṭeḍhā,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4488,ɖera,ɖera,NOUN,1_m-a,OIA*ḍēra,1) temple,храм 2) houseдом,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4489,ɖeru,ɖeru,,,OIA*ḍēra,n2_m-V temple,храм ɖewɽʰcardnum one and a half полтора,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4490,ɖɛngra,ɖɛngra,NOUN,1_m-a,Mandeali d ̣angra<*ḍaṅgara,animal,животное janvar,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4491,ɖɛɳɖa,ɖɛɳɖa,NOUN,1_m-a,OIAdaṇḍá,log,бревно,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4492,ɖəkar,ɖəkar,NOUN,4_m-C,OIA*ḍakkāra,belch,отрыжка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4493,ɖikɭi,ɖikɭi,NOUN,3_f-V1),Bad OIA word*ḍakkāra *ḍhikk,belch,отрыжка 2) hiccough икота,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4494,ɖongiɳa,ɖongiɳa,,,Unknown,vifreeze food,"замораживать еду ɖorin 3_f-Vверёвочка, которую повязывает пуджари на руку ɖɔɳɖn4_m-C penalty плата в храм за прегрешение",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4495,ɖɔrna,ɖɔrna,,,Bad OIA worddarati,vibe  afraid,бояться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4496,ɖrauɳa,ɖrauɳa,ADJ,,Unknown,them. frightening,страшный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4497,ɖubɳa,ɖubɳa,,,OIA*ḍubb,vi1) drown,тонуть ḍū bna2) diveнырять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4498,ɖugʰa,ɖugha,ADJ,,Bad OIA word gūḍhá + met,them. deep,глубокий,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4499,ɖũkʰ,ɖukh,NOUN,4_m-C,Bad OIA word*ḍhaṅkha,stub,пень Ɖʰ ɖʰ ɖʰaln 4_m-C shield щит,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4500,ɖʰek,ɖhek,,,OIA*ḍhēkka-,n4_m-C 1) fence supporting terrace field,"стена, укрепляющая террасу на поле 2) higher (inner) side of a terrace fieldверхний (внутренний) край террасного поля ɖʰemɳa vtbeat  бить, избивать mārna (jān se nah ī̃),  pīṭna",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4501,ɖʰɛwa,ɖhɛwa,NOUN,1_m-a,"Mandeali, Punjabi, ɛ/ɐ IA languageḍhabba < ḍhabūā < *ḍhabba-",money,деньги ɖʰəlaɳa vtpourлить19 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4502,ɖʰipi,ɖhipi,,,OIA*ḍhippa-,n3_f-Vsmall bridge,"мостик ɖʰisɳavtbeat бить, избивать mārna, pīṭna ɖʰoɳavt1) carry носить ḍ hona2) bearпереносить 3) pickподбирать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4503,ɖʰɔg,ɖhɔg,NOUN,4_m-C,"Bad OIA word *ḍhōkka, *ḍagga",mountain,гора,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4504,ɖʰɔkɳa,ɖhɔkɳa,,,OIA†*ḍhakk-,vtgrasp,хватать pakaṛna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4505,ɖʰɔkɳa,ɖhɔkɳa,NOUN,,OIA*ḍhakk,,лужа,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4506,ɖʰɔɭna,ɖhɔɭna,,,OIA*ḍhalati,vi1) fall down,падать 2) flow течь ɖʰuaɳa vtзаставлять носить E e,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4507,e,e,,,OIAēṣá,1) pers3.PROX.DIR3.PROX.DIR 2) dem3.PROX.DIR 3.PROX.DIR eprtexactly,именно eiraposs3SG.M.PROX.POSS 3SG.M.PROX.POSS,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4508,esa,esa,PRON,3SG.F.PROX.OBL,неопознанный индоарийский язык без ʃonly sibilant IA language ēṣá,3SG.F.PROX.OBL 2) dem3SG.F.PROX.OBL 3SG.F.PROX.OBL esəraposs3SG.F.PROX.POSS 3SG.F.PROX.POSS Ɛ ɛ ɛɳɖapro-adjsuch,такой ɛɳɖepro-advso так Ə ə ə̃grezin 3_f-VEnglish languageанглийский язык,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4509,əkaunʈ,əkaunʈ,NOUN,4_m-C,Eng account,account,счёт,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4510,əkʰbar,əkhbar,NOUN,5_f-Cnewspaperгазета,"Arab, Hin ak ̣hbār < axbār",,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4511,əkʰroʈ,əkhroʈ,NOUN,4_m-C,Hin akhroṭ < akṣōṭa,walnut,грецкий орех,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4512,əmir,əmir,NOUN,4_m-C,"Arab, Hin amīr",rich man,богач 2) adjrich богатый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4513,əpradʰ,əpradh,NOUN,4_m-C,"Skr, Hinapara ̄ddʰa",guilty,виновный1 2 1 220 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4514,əprel,əprel,NOUN,4_m-C,Eng April,April,апрель əramn 4_m-C restотдых F f,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4515,februari,februari,NOUN,3_f-VFebruary,Eng February,,февраль,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4516,fɛmli,fɛmli,NOUN,3_f-Vfamily,Eng family Eng,,"семья fɛrwəri n3_f-VFebruaryфевраль G g gabɳavtcover, hideзакрывать, прятать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4517,gah,gah,NOUN,4_m-C,Bad OIAghāsá,grass,трава,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4518,gaɭi,gaɭi,,,OIAgāli,n3_f-Vscold,ругань gaɭi deɳa vtscold ругать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4519,gaɳa,gaɳa,,,OIAgāˊyati,vtsing,петь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4520,gaɳa,gaɳa,,,OIAgāna,n1_m-a singing,пение,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4521,gar,gar,,,OIAáṅgāra,n4_m-C coal,уголь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4522,gara,gara,NOUN,1_m-a,OIA*gāra,plaster,"замазка, штукатурка",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4523,gaɽʰa,gaɽha,ADJ,,OIAgāḍha,them. thick,густой (о жидкости),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4524,gaʃ,gaʃ,,,"Bad OIA word, Dardicākāśá, *ākāśiya",n4_m-Csg rain,дождь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4525,gatʃi,gatʃi,,,OIAgātrikā,"n3_f-Vwoman's belt, girdle",женский пояс,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4526,gɐla,gɐla,NOUN,1_m-a,Pers gala,1) shady place,"тенистое место 2) hammock гамак gẽjntin3_f-Vмотыга geɽan 1_m-a staircase лестница из дерева (например, на второй этаж, не приставная) gɛddinGaddi гадди",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4527,gɛdʰa,gɛdha,NOUN,1_m-a,Hingaddha < gardabhá,donkey,осёл gɛɖin 3_f-Vcarмашина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4528,gɛhɳa,gɛhɳa,NOUN,1_m-a,Punjabi  gahṇā < gráhaṇa,jewel,украшение,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4529,gɛl,gɛl,,,"ɛ/ɐ IA language, Mandeali gəl < *galhā",n5_f-C1) speech,речь 2) thingдело,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4530,gɛlət,gɛlət,ADJ,,"Hin, Arab g ̣alat < g̣alat̤",athem. wrong,неправильный1 2 221 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4531,gɛɭna,gɛɭna,VERB,,Mandealigəḷna < galati,melt,таять gɛndn4_m-C dirtгрязь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4532,gɛnda,gɛnda,,,Pers ganda,adj1) dirty,грязный 2) vileдурной,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4533,gɛp,gɛp,NOUN,5_f-Ctalk,"Punjabi, Hin gapp < *gappa","chat, gossip",болтовня,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4534,gɛp,gɛp,ADJ,,Suspicious IA etymology *gabba,them. thick (cloth),толстый (о ткани) 2) advvery очень gɛpa marna vchatболтать gɛrdziɳa vithunder греметь громом о небе,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4535,gɛrmi,gɛrmi,NOUN,3_f-V1),"Hin, Pers garmi",summer,лето 2) heat жара,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4536,gəbaɳa,gəbaɳa,,,OIAgāpayati,vtmake sing,заставлять петь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4537,gəɖgodzu,gəɖgodzu,,,Suspicious IA etymology gárgara,n2_m-V flute,флейта,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4538,gəloʈa,gəloʈa,NOUN,1_m-a,"Bad OIA, Accent issue*gallapuṭa",cheek,щека,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4539,gəltsʰapa,gəltshapa,NOUN,1_m-a,compensatory lenghtening IA languagegalla + *chapp,freckle,веснушка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4540,gərdən,gərdən,NOUN,5_f-Cneck,"Pers, Hin gardan",,шея,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4541,gidəɽ,gidəɽ,,,OIA*gidda,n4_m-C fox,лиса,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4542,gifʈ,gifʈ,,,Eng gift,n4_m-C gift,подарок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4543,gindu,gindu,NOUN,2_m-V,OIAginduka,ball,мяч giɳnavtcount считать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4544,giʈku,giʈku,NOUN,2_m-V,OIA*giṭṭa-,dwarf,карлик gjann4_m-C knowledgeзнание,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4545,glab,glab,NOUN,4_m-C,"Hin, Pers gula ̄b",rose,роза,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4546,glas,glas,NOUN,4_m-C,Eng glass,1) glass,стакан 2) glass стекло,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4547,gɭau,gɭau,NOUN,2_m-V,Unknown,spider,паук gneɽn 7_f-iGanerГанер,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4548,goɭ,goɭ,,,OIAgōla,1) adjathem. round,"круглый gol2) nsphere, circle шар, круг",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4549,goru,goru,NOUN,2_m-Vpl,OIAgōrūpá,cattle,скот goʈʰn7_f-iпикник жр косв на –и *etymology goṣṭhi *Thakur notes parallels in Garhwali1 2 222 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4550,gɔbʰəɳ,gɔbhəɳ,ADJ,,OIAgarbhíṇī,athem.,"стельный (корова, овца, собака) pregnant (animal) стельная, беременная",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4551,gɔbʰi,gɔbhi,NOUN,3_f-Vlamb,OIAgárbha,(female),ягнёнок (самка),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4552,gɔbʰu,gɔbhu,,,OIAgárbha,n2_m-V lamb (male),ягнёнок (самец),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4553,gɔɭ,gɔɭ,NOUN,4_m-C,OIAgala,throat,горло gɔmɳavilike нравиться pasand karna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4554,gɔntʰa,gɔntha,NOUN,1_m-a,"Cr assimilation IA language, NT IA language grantha","1) bundle, knot",узел2) packetсвёрток,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4555,gɔ̃tʃ,gɔtʃ,NOUN,4_m-C,Bad OIAgōmūtra,stale of cow,коровья моча,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4556,gɔʈʰɳa,gɔʈhɳa,,,Bad OIA*guptha X grantháyati,vttie,прикреплять нить к ткацкому станку,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4557,grib,grib,NOUN,4_m-C,"Hin, Arab g ̣arīb",clan deity,божество рода,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4558,groɽa,groɽa,ADJ,,Bad OIAkáṭhōra,them. rough (of cloth),"грубый, жёсткий (о ткани)",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4559,gɽuɽu,gɽuɽu,NOUN,2_m-V,Bad OIA word *guḍ *gaḍagaḍa ghurghurā,thunder,гром,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4560,gũgɳa,gugɳa,,,Suspicious IA etymology ghuraghurāyatē,vibark,лаять bha˜ukna gũhn4_m-C toiletтуалет,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4561,guhaɽna,guhaɽna,,,Unknown,vtopen,открывать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4562,guli,guli,,,Bad OIA wordgōla,n3_f-V1) corn stub,кукурузная кочерыжка 2) piece of wood used in guli-danda gameкусочек дерева для игры гули-данда gulun2_m-V maize stub огрызок кукурузы,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4563,gund,gund,NOUN,5_f-Cglueклей,Cr assimilation IA languagegundra,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4564,gundʰɳa,gundhɳa,,,Bad OIA word *gōphayati X gaṁthaï < grantháyati,vtknit,вязать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4565,gur,gur,NOUN,4_m-C,Suspicious IA etymology gūḍhá ?,"gur, Hindu shaman gur",гур,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4566,guʈi,guʈi,NOUN,3_f-Vseed,Bad OIA*gōṭṭa,stone of a fruit,семечко,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4567,guʈʰa,guʈha,NOUN,1_m-a,"OIAaṅguṣṭhá -- , ˚gú˚",1) thumb,большой палец 2) toe палец на ноге big toe,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4568,guʈʰi,guʈhi,NOUN,3_f-V1),"OIAaṅguṣṭhá -- , ˚gú˚",all fingers other then thumb finger,палец 2) toe палец на ноге(all fingers other then big toe),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4569,gwaɳa,gwaɳa,,,OIAgamáyati,vt1) lose,терять (тж. о человеке) 2) spend (time)проводить (время)23 of 40 7/7/2023 9:52 PM Gʰ gʰ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4570,gʰam,gham,,,Hinghām < gharma,n4_m-C heat,жара,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4571,gʰɛɽ,ghɛɽ,NOUN,,Bad OIAghaṭī,ftime,время,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4572,gʰɛɽi,ghɛɽi,NOUN,3_f-V1),Hinghaṛi < ghaṭī,timespan,промежуток времени 2) watch часы gʰɛʈɳavibecome smaller уменьшаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4573,gʰəmɛɳɖ,ghəmɛɳɖ,NOUN,4_m-C,Unknown,pride,гордость gʰəʃitɳa vtpull тянуть gʰəʈaɳa vtmake smallerуменьшать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4574,gʰiw,ghiw,NOUN,2_m-V,Bad OIA wordghr̥tá,"ghee, melted butter ghee",гхи gʰɭaɳavtmix up перемешивать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4575,gʰoɽa,ghoɽa,NOUN,1_m-a,OIAghōṭa,horse,лошадь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4576,gʰoɽi,ghoɽi,NOUN,3_f-Vmareкобыла,OIAghōṭa,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4577,gʰɔgʰra,ghɔghra,NOUN,1_m-a,OIAghargharī,skirt,юбка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4578,gʰɔɳ,ghɔɳ,NOUN,4_m-C,OIAghaná,big hammer,молот,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4579,gʰɔɳɖi,ghɔɳɖi,NOUN,3_f-Vadam's,OIA*ghaṇṭa,apple,"кадык, адамово яблоко",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4580,gʰɔr,ghɔr,NOUN,4_m-C,OIAghara,1) home,"дом 2) houseдом gʰɔɽiɳa vifight  драться, устраивать потасовку laṛna, mār-pīṭāī karna gʰɔɽɳavtbeat  бить, избивать pīṭna, mārna (jān se nah ī̃)",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4581,gʰɔʈ,ghɔʈ,NOUN,4_m-C,*ghaṭṭa- < *gharṣṭra,grinding mill,мельница gʰrosɳa vtмесить тесто,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4582,gʰɽemɳa,ghɽemɳa,,,Suspicious IA etymology gálati,vtdrink of animals,"лакать, пить о животных gʰɽolun 2_m-V earthen vessel горшок",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4583,gʰumaɳa,ghumaɳa,,,Hin ghumānā,vtmake walk,выгуливать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4584,gʰumɳa,ghumɳa,,,OIA*ghummati,viwalk,ходить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4585,gʰuɳɖi,ghuɳɖi,NOUN,3_f-V1),OIAghuṇṭa,heel,"пятка 2) ankle лодыжка, щиколотка gʰuʃaɳa vtrub тереть",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4586,gʰuʃɳa,ghuʃɳa,,,OIA*ghr̥ṣati X *ghuss ?,1) virub,"тереться 2) vtнатирать 3) vt4) vtточить, 24 of 40 7/7/2023 9:52 PM заострять 5) vipeel чиститься 6) vicrawl ползти",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4587,gʰuʈʈəɳa,ghuʈʈəɳa,NOUN,1_m-a,OIAghuṭṭa,knee,колено H h haprtyes да haɖ-mãs n 4_m-C bones and meatкости и мясо,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4588,hak,hak,,,hakka,n5_f-Ccall,зов haln 4_m-C condition состояние,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
