id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
5132,seuɳ,seuɳ,,,"OIAsīvana, sēvana",n7_f-ineedle,игла,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5133,sɛbʰ,sɛbh,,,"Bad OIA word, Punjabisárva",1) proall,все2) proeverything всё 3) pro-adj13 of 32 7/7/2023 9:54 PM every каждый 4) proeverybody все,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5134,sɛbʰi,sɛbhi,,,Bad OIA wordsárva,proall,все,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5135,sɛdzɳa,sɛdzɳa,,,Punjabi sajṇā < sajjyatē,vidress up,наряжаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5136,sɛhɳa,sɛhɳa,,,OIAsáhatē,vtendure,терпеть,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5137,sɛng,sɛng,NOUN,4_m-C,Skrsaṅgá,friendship,дружба,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5138,sɛnge,sɛnge,,,Skrsaṅgá + LocSg,1) postINS INS 2) postCOM COM 3) advtogether,вместе,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5139,sɛngəɳ,sɛngəɳ,NOUN,7_f-ifemale,ɛ/ɐ IA language saṅgin + f,friend,подруга,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5140,sɛngətra,sɛngətra,,,"Pers, Khasi sangtarā < sohniamtra",n1_m-a orange,апельсин,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5141,sɛɳsi,sɛɳsi,,,"Punjabi, ɛ/ɐ IA language, неопознанный индоарийский язык без ʃonly sibilant IA language, Mandealiseṇsi < saṇḍasī < saṁdaṁśá",n3_f-V1) oven fork,"ухват 2) tongs щипцы sɛrəkɳa virun, flowбегать по коже о насекомых",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5142,sɛrg,sɛrg,,,"Bad OIA, ɛ/ɐ IA language, Mandeali, Skr sərg < svargá",n4_m-C sky,небо,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5143,sɛrp,sɛrp,,,Skrsarpá,n4_m-C snake,змея,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5144,sɛɽək,sɛɽək,NOUN,5_f-CSanskritсанскрит,Hinsaɽak < śaṭati,sərjara n 1_m-a sg,"важное зерновое в долине, входит в состав пхембрыwhite amaranth белый амарант",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5145,sərkari,sərkari,,,"Hin, Pers sarka ̄rī",adjgovernment,государственный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5146,shaita,shaita,,,Skrsahāyatā,n6_f-ahelp,"помощь sĩgɳavtsniffнюхать sikɳavigo away  уходить jāna sikʰɳavtstudy  изучать, осваивать sīkhna",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5147,silai,silai,,,Hin silāī < sīvayati,n3_f-Vtailoring,"шитьё одежды silɽi aɭu (Unknown ? + OIA āluka, ālukī ) n2_m-V taro таро",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5148,sina,sina,ADJ,,OIAsvinná,them. humid,влажный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5149,sĩɳa,siɳa,,,Bad OIA word sīvayati,vtsew,шить sīna14 of 32 7/7/2023 9:54 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5150,sira,sira,NOUN,1_m-a,Unknown,,"угол прямоугольного предмета - тетради, столаedgeугол",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5151,sirf,sirf,,,Pers ṣirf,advonly,только siʈɳavi1) bake печься 2) stew вариться на огне ā g mẽ pakna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5152,sjaɳa,sjaɳa,ADJ,,OIA*sajāna,them. old (people) old,старый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5153,sjaɳa,sjaɳa,NOUN,1_m-a,OIA*sajāna,old man,старик,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5154,sjaɳi,sjaɳi,NOUN,3_f-Vold,OIA*sajāna,woman,старуха,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5155,skul,skul,,,Eng school,n4_m-C school,школа,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5156,slah,slah,NOUN,,"Arab, Hin sala ̄h < ṣalāḥ",fadvice,совет,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5157,smɛj,smɛj,NOUN,4_m-C,Skrsamaya,time,время,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5158,smudər,smudər,NOUN,4_m-C,Skrsamudrá,sea,море,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5159,soɳa,soɳa,VERB,,OIAsvápati & *supati,nstndsleep,спать sona,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5160,sõpɳa,sopɳa,,,Hin,vthand over,вручать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5161,sotsɳa,sotsɳa,,,Bad OIA word śōcyatē X †samarthyatē,vtthink,думать socna sɔ1) pers3SG.DIST.DIR 3SG.DIST.DIR 2) dem3SG.DIST.DIR 3SG.DIST.DIR sɔ̃bərnavirecover bīmārī se svasth honaвыздоравливать (о болезни),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5162,sɔndzʰ,sɔndzh,NOUN,5_f-Cevening,OIAsaṁdhyāˊ,,вечер,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5163,sɔr,sɔr,NOUN,4_m-C,OIAsáras,lake,озеро,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5164,sɔri,sɔri,,,Unknown,n3_f-Voats,овёс,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5165,sɔt,sɔt,NUM,,OIAsaptá,seven,семь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5166,spari,spari,,,OIA*suppāra,n3_f-Vbetel palm (areca palm) betel palm,бетелевая пальма srahn 4_m-C customобычай,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5167,srahiɳa,srahiɳa,,,Hinsarāhnā < ślāˊghatē,viboast,хвастаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5168,sraɭ,sraɭ,NOUN,4_m-C,Unknown,python,удав,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5169,sraɳa,sraɳa,NOUN,1_m-a,Punjabi sarhāṇā < *śiraādhāna,pillow,подушка staəʈʰcardnum sixty seven,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5170,sʈajl,sʈajl,NOUN,,Eng style,gold,золото,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5171,sungər,sungər,,,OIA*sūṅkara,n4_m-C pig,"свинья, хряк1 215 of 32 7/7/2023 9:54 PM",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5172,sungʰɳa,sunghɳa,,,Hinsū̃ghnā < śíṅghati,vtsniff,нюхать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5173,supɳa,supɳa,NOUN,1_m-a,Bad OIA word *supna X MIA. suppati,dream,сон,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5174,sur,sur,NOUN,5_f-Cspiritous,OIA súrā,liquor of finger millet,алкогольный напиток из пальчатого проса,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5175,surədz,surədz,,,Skrsūrya,n4_m-C sun,солнце sūraj,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5176,surəng,surəng,NOUN,5_f-Ctunnelтоннель,OIAsuraṅg < suraṅgā,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5177,suti,suti,,,Cr assimilation IA languagesū́tra,adjathem. cotton,хлопковый sutʃaadj them. holy святой,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5178,suʈ,suʈ,,,Eng suit,n4_m-C suit,костюм,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5179,swad,swad,ADJ,,Skrsvādú,athem. tasty,вкусный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5180,swah,swah,NOUN,4_m-C,"Hin, Skrswa ̄hā",ash,зола,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5181,swaɳa,swaɳa,,,OIAsvāpáyati,vtmake sleep,укладывать спать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5182,sw̃ar,swar,NOUN,4_m-C,OIAsōmavāra,Monday,понедельник,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5183,sweʈər,sweʈər,,,Eng sweater,n5_f-Csweater,свитер Ʃ ʃ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
