id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes
2066,Jholá,Jhola,,NOUN,n.m.,,H. jholā,A wallet,,A wallet,,"-bharṇá, v.i. re. To fill a wallet; -láṇí, v.a. re. To become a mendicant",mainDictionary_repaired.csv,64,original,
2067,Jholí,Jholi,,N.F.,n.f.,,,A small wallet,,A small wallet,,,mainDictionary_repaired.csv,64,original,
2068,Jho'ṭ,Jho't,,NOUN,n.m.,,,"A root, origin, foundation",,"A root, origin, foundation",,"-cháṇ-ṇí, v.t. re. To cut a root",mainDictionary_repaired.csv,64,original,
2069,Jhuňkhíá,Jhunkhia,,NOUN,n.m.,,,"Timber, a large piece of wood",,"Timber, a large piece of wood",,,mainDictionary_repaired.csv,64,original,
2070,Jhuňkhṛí,Jhunkhri,,N.F.,n.f.,,,"Firewood, fuel",,"Firewood, fuel",,"-báňḍṇí, v.i. re. To distribute fuel",mainDictionary_repaired.csv,64,original,
2071,Jhúlá,Jhula,,NOUN,n.m.,,,A swinging bridge,,A swinging bridge,,,mainDictionary_repaired.csv,64,original,
2072,Jhúláwṇu,Jhulawnu,,V.T.,v.t. re.,,,To cause or allow to swing,,To cause or allow to swing,,"f. -í, pl. -é",mainDictionary_repaired.csv,64,original,
2073,Jhúldá,Jhulda,,P.P.,p.p.,,,Swinging,,Swinging,,,mainDictionary_repaired.csv,64,original,
2074,Jhulkáwṇu,Jhulkawnu,,V.T.,v.t. re.,,,To cause or allow to shake,,To cause or allow to shake,,,mainDictionary_repaired.csv,64,original,
2075,Jhulkdá,Jhulkda,,P.P.,p.p.,,,"Shaking, quaking, trembling",,"Shaking, quaking, trembling",,"f. -í, pl. -é",mainDictionary_repaired.csv,64,original,
2076,Jhulkṇu,Jhulknu,,V.I.,v.i. re.,,,"To shake, quake, tremble",,"To shake, quake, tremble",,"f. -í, pl. -é",mainDictionary_repaired.csv,64,original,
2077,Jhulkú-huňḍu,Jhulku-hundu,,P.P.,p.p.,,,Shaken,,Shaken,,"f. -í, pl. -é",mainDictionary_repaired.csv,64,original,
2078,Jhúlṇu,Jhulnu,,V.I.,v.i. re.,,,To swing round,,To swing round,,,mainDictionary_repaired.csv,64,original,
2079,Jhúm,Jhum,,N.F.,n.f.,,,"A covering, made of a blanket, used to protect from rain",,"A covering, made of a blanket, used to protect from rain",,,mainDictionary_repaired.csv,64,original,
2080,Jhúmi-rauṇí,Jhumi-rauni,,V.I.,v.i. ir.,,,To hang,,To hang,,,mainDictionary_repaired.csv,64,original,
2081,Jhumkú,Jhumku,,NOUN,n.m. pl.,,,A kind of earrings,,A kind of earrings,,"-láṇe, v.t. re. To wear earrings; -ghaṛṇe, v.i. re. To make earrings (of gold or silver)",mainDictionary_repaired.csv,64,original,
2082,Jhumṇu,Jhumnu,,V.I.,v.i. re.,,,"(1) To hang down; (2) To doze, to slumber",,"(1) To hang down; (2) To doze, to slumber",,,mainDictionary_repaired.csv,64,original,
2083,Jhuṭṭh,Jhutth,,NOUN,n.m.,,H. jhúṭh,"Untruth, fabrication, lie",,"Untruth, fabrication, lie",,,mainDictionary_repaired.csv,64,original,
2084,Jhumr,Jhumr,,NOUN,n.m.,,H. jhūmar,An ornament worn on the head,,An ornament worn on the head,,,mainDictionary_repaired.csv,65,original,
2085,Jhuňfṛí,Jhunfri,,N.F.,n.f.,,H. jhoṅpṛī,A cottage,,A cottage,,,mainDictionary_repaired.csv,65,original,
2086,Jhuňgá,Jhunga,,NOUN,n.m.,,,(1) Property; (2) Estate,,(1) Property; (2) Estate,,,mainDictionary_repaired.csv,65,original,
2087,Jhuňjṛí,Jhunjri,,N.F.,n.f.,,,A kind of wild plant,,A kind of wild plant,,,mainDictionary_repaired.csv,65,original,
2088,Jhuṭáwṇu,Jhutawnu,,V.T.,v.t. re.,,,To cause or allow to drink,,To cause or allow to drink,,,mainDictionary_repaired.csv,65,original,
2089,Jhuṭṇu,Jhutnu,,V.T.,v.t. re.,,,"To drink, to quench",,"To drink, to quench",,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2090,Jhúṭh,Jhuth,,NOUN,n.m.,,H. jhūṭh,"Untruth, fabrication, lie",,"Untruth, fabrication, lie",,,mainDictionary_repaired.csv,65,original,
2091,Jhwár,Jhwar,,NOUN,n.m.,,,(1) A present; (2) Salutation,,(1) A present; (2) Salutation,,,mainDictionary_repaired.csv,65,original,
2092,Jhwárṇu,Jhwarnu,,V.T.,v.t. re.,,,See Juhárṇu,,See Juhárṇu,,,mainDictionary_repaired.csv,65,original,
2093,Jía-de-rákhṇu,Jia-de-rakhnu,,V.T.,v.t. re.,,,"To keep in mind, to love",,"To keep in mind, to love",,,mainDictionary_repaired.csv,65,original,
2094,Jía-rá-aňtó,Jia-ra-anto,,ADJ.,adj.,,,That which is in the mind,,That which is in the mind,,,mainDictionary_repaired.csv,65,original,
2095,Jía-rá or -u,Jia-ra or -u,,ADJ.,adj.,,,Of the mind,,Of the mind,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2096,Jíbh,Jibh,,N.F.,n.f.,,S. Jihvā,The tongue,,The tongue,,"- japṇu, v.t. re. To speak. (Also Jíbṭí)",mainDictionary_repaired.csv,65,original,
2097,Jid,Jid,,N.F.,n.f.,,P. zidd,"Opposition, persistence",,"Opposition, persistence",,"-karṇí, v.t. re. To persist",mainDictionary_repaired.csv,65,original,
2098,Jidwá-huňḍá,Jidwa-hunda,,P.P.,p.p.,,,Persisted,,Persisted,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2099,Jidwáṇu,Jidwanu,,V.I.,v.i. re.,,,"To persist, to oppose",,"To persist, to oppose",,,mainDictionary_repaired.csv,65,original,
2100,Jikṇu,Jiknu,,V.T.,v.t. re.,,,To press down,,To press down,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2101,Jiku-huňḍu,Jiku-hundu,,P.P.,p.p.,,,Pressed down,,Pressed down,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2102,Jimá-huňḍá,Jima-hunda,,P.P.,p.p.,,,Eaten,,Eaten,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2103,Jimáwdá,Jimawda,,P.P.,p.p.,,,Feeding,,Feeding,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2104,Jimáwṇu,Jimawnu,,V.T.,v.t. re.,,,To feed,,To feed,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2105,Jimáwu-huňḍu,Jimawu-hundu,,P.P.,p.p.,,,Fed,,Fed,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2106,Jimdá,Jimda,,P.P.,p.p.,,,"Eating, taking food",,"Eating, taking food",,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2107,Jímí,Jimi,,N.F.,n.f.,,P. zamīn,Land,,Land,,"-jágá, n.f. Landed property, estate",mainDictionary_repaired.csv,65,original,
2108,Jimṇu,Jimnu,,V.T.,v.t. re.,,,To take food (H. jīmnā),,To take food (H. jīmnā),,,mainDictionary_repaired.csv,65,original,
2109,Jimpar,Jimpar,,NOUN,n.m.,,S. Yamapura,"Death, demise",,"Death, demise",,,mainDictionary_repaired.csv,65,original,
2110,"Jiňdá, -u","Jinda, -u",,PRO.,pro.,,,In which,,In which,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2111,Jindaṛí,Jindari,,N.F.,n.f.,,P. zindagī,"Life, existence, the course or period of life; Short life.",,"Life, existence, the course or period of life; Short life.",,,mainDictionary_repaired.csv,65,original,
2112,Jiné,Jine,,PRO.,pro.,,,By whom,,By whom,,,mainDictionary_repaired.csv,65,original,
2113,Jinéň,Jinen,,PRO.,pro.,,,Who or by whom,,Who or by whom,,,mainDictionary_repaired.csv,65,original,
2114,Jinó,Jino,,PRO.,pro.,,,To whom,,To whom,,,mainDictionary_repaired.csv,65,original,
2115,Jishká or -u,Jishka or -u,,ADV.,adv.,,,Wherever,,Wherever,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2116,Jishu or -á,Jishu or -a,,ADJ.,adj.,,H. jaisā,As,,As,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2117,Jitáwṇu,Jitawnu,,V.T.,v.t. re.,,,To cause or allow to win,,To cause or allow to win,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2118,Jitdá,Jitda,,P.P.,p.p.,,,Winning,,Winning,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2119,Jitiá or jitiṛó,Jitia or jitiro,,P.P.,p.p.,,,Having won,,Having won,,,mainDictionary_repaired.csv,65,original,
2120,Jitṇu,Jitnu,,V.T.,v.t. re.,,,"To win, to overcome, to conquer",,"To win, to overcome, to conquer",,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2121,Jitú,Jitu,,NOUN,n.m.,,,Conqueror,,Conqueror,,,mainDictionary_repaired.csv,65,original,
2122,Jitu-huňḍu,Jitu-hundu,,P.P.,p.p.,,,"Won, conquered",,"Won, conquered",,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2123,Jíú,Jiu,,NOUN,n.m.,,S. jīva,"The soul, life, disposition",,"The soul, life, disposition",,Also Jí,mainDictionary_repaired.csv,65,original,
2124,Jíúň or jyúň,Jiun or jyun,,NOUN,n.m.,,S. Yama,(1) Death; (2) The deity of death,,(1) Death; (2) The deity of death,,,mainDictionary_repaired.csv,65,original,
2125,Jíúňdá or jyúňdá,Jiunda or jyunda,,ADJ.,adj.,,,Living,,Living,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2126,Jíwaṇu,Jiwanu,,V.V.,v.v. re.,,,"To live, to pass one's life",,"To live, to pass one's life",,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2127,Jíwáwṇu,Jiwawnu,,V.I.,v.i. re.,,,To cause or allow to live,,To cause or allow to live,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,
2128,Jíwi-jáṇu,Jiwi-janu,,V.I.,v.i. ir.,,,"To perish, to be bereft of life",,"To perish, to be bereft of life",,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2129,Jíwiṛó,Jiwiro,,P.P.,p.p.,,,Having lived,,Having lived,,,mainDictionary_repaired.csv,66,original,
2130,Jmháí,Jmhai,,N.F.,n.f.,,H. jamhāī,Yawning,,Yawning,,"-áwṇí, v.s. re. To yawn",mainDictionary_repaired.csv,66,original,
2131,Jmhiyálí,Jmhiyali,,N.F.,n.f.,,,(1) Chin; (2) The lower part of the mouth,,(1) Chin; (2) The lower part of the mouth,,,mainDictionary_repaired.csv,66,original,
2132,Jo or Ju,Jo or Ju,,PRO.,pro.,,,"Who, which, or that",,"Who, which, or that",,"As Ju kál áwu-thú, sé kuṇ thú? 'Who was the man, who came yesterday?'",mainDictionary_repaired.csv,66,original,
2133,Jo,Jo,,NOUN,n.m.,,,See Jau,,See Jau,,,mainDictionary_repaired.csv,66,original,
2134,Jó'ch,Jo'ch,,N.F.,n.f.,,,A rope to fasten the yoke to the plough,,A rope to fasten the yoke to the plough,,Also jot,mainDictionary_repaired.csv,66,original,
2135,Jó'k,Jo'k,,N.F.,n.f.,,S. Jalaukā,A leech,,A leech,,"-o, pl. Leeches. -láṇí, v.i. re. To apply leeches",mainDictionary_repaired.csv,66,original,
2136,Joṛ,Jor,,N.F.,n.f.,,H. jaṛ,A root,,A root,,cf. Jauṛ,mainDictionary_repaired.csv,66,original,
2137,Jor,Jor,,NOUN,n.m.,,P. zor,"Might or power, strength",,"Might or power, strength",,,mainDictionary_repaired.csv,66,original,
2138,Joṛ,Jor,,NOUN,n.m.,,,"(1) Joining, junction; (2) Total",,"(1) Joining, junction; (2) Total",,"-deṇá, v.i. re. To add; -páṇá, v.t. re. To add (a piece)",mainDictionary_repaired.csv,66,original,
2139,Joṛá,Jora,,NOUN,n.m.,,,(1) A pair; (2) A pair of shoes,,(1) A pair; (2) A pair of shoes,,"-márná, v.t. re. To beat with shoes. (Syn. Pám)",mainDictionary_repaired.csv,66,original,
2140,Joṛáwṇu,Jorawnu,,V.T.,v.t. re.,,,See Jráwṇu,,See Jráwṇu,,,mainDictionary_repaired.csv,66,original,
2141,Joṛdá,Jorda,,P.P.,p.p.,,,Joining,,Joining,,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2142,Joṛiá or joṛiṛó,Joria or joriro,,P.P.,p.p.,,,"Having joined, having added",,"Having joined, having added",,,mainDictionary_repaired.csv,66,original,
2143,Joṛṇu,Jornu,,V.T.,v.t. re.,,,"To join, to add",,"To join, to add",,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2144,Joṛ-ṇu,Jor-nu,,V.T.,v.t. re.,,H. joṛnā,"To join, to unite by repairs",,"To join, to unite by repairs",,,mainDictionary_repaired.csv,66,original,
2145,Joṛu-huňḍu,Joru-hundu,,P.P.,p.p.,,,"Joined, added",,"Joined, added",,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2146,Jó't,Jo't,,N.F.,n.f.,,,(1) See Jó'ch; (2) Flame of a lamp; (3) A hill peak,,(1) See Jó'ch; (2) Flame of a lamp; (3) A hill peak,,,mainDictionary_repaired.csv,66,original,
2147,Jotáwṇu,Jotawnu,,V.T.,v.t. re.,,,To cause or allow to plough,,To cause or allow to plough,,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2148,Jotdá,Jotda,,P.P.,p.p.,,,Ploughing,,Ploughing,,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2149,Jotí,Joti,,N.F.,n.f.,,S. Jyotiṣh,Light (of the sun or a lamp),,Light (of the sun or a lamp),,,mainDictionary_repaired.csv,66,original,
2150,Jotiá or Jotiṛó,Jotia or Jotiro,,P.P.,p.p.,,,Having ploughed,,Having ploughed,,,mainDictionary_repaired.csv,66,original,
2151,Jotṇu,Jotnu,,V.T.,v.t. re.,,,To plough,,To plough,,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2152,Jotu-huňḍu,Jotu-hundu,,P.P.,p.p.,,,Ploughed,,Ploughed,,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2153,Jpóṛ,Jpor,,NOUN,n.m.,,,A fool,,A fool,,Also jupóṛ,mainDictionary_repaired.csv,66,original,
2154,Jraiňṭh,Jrainth,,NOUN,n.m.,,,A kind of wild pear,,A kind of wild pear,,,mainDictionary_repaired.csv,66,original,
2155,Jráwṇu,Jrawnu,,V.T.,v.t. re.,,,To cause or allow to join,,To cause or allow to join,,"f. -í, pl. -é",mainDictionary_repaired.csv,66,original,
2156,Jrolí,Jroli,,N.F.,n.f.,,,See Jaṛolí,,See Jaṛolí,,,mainDictionary_repaired.csv,66,original,
2157,Ju,Ju,,PRO.,pro.,,,See Jo,,See Jo,,,mainDictionary_repaired.csv,66,original,
2158,Ju,Ju,,RE.,re. pro.,,,"Who or which,Agentive Juméň,66",,"Who or which,Agentive Juméň,66",,,mainDictionary_repaired.csv,,original,
2159,Jú,Ju,,N.F.,n.f.,,,Louse,,Louse,,"pl. Júwó, Lice. -parṇí, v.i. re. To suffer from lice",mainDictionary_repaired.csv,66,original,
2160,Júb,Jub,,N.F.,n.f.,,S. Dūrvā,"Bent grass (Panicum dactylon), said to mean 'That which hurts sin.'",,"Bent grass (Panicum dactylon), said to mean 'That which hurts sin.'",,"-o-rí-ḍálí, n.f. A plant of bent grass; -jámṇí, v.i. re. To grow, of bent grass",mainDictionary_repaired.csv,66,original,
2161,Jubaṛ or Jubṛ,Jubar or Jubr,,NOUN,n.m.,,,"Meadow, a level space with grass on it",,"Meadow, a level space with grass on it",,"-bahṇu, v.v. re. To make a new field, to cultivate waste land",mainDictionary_repaired.csv,66,original,
2162,Júhṛ,Juhr,,NOUN,n.m.,,,See Jubaṛ,,See Jubaṛ,,,mainDictionary_repaired.csv,66,original,
2163,Jubṛí or jubṭí,Jubri or jubti,,N.F.,n.f.,,,A small meadow,,A small meadow,,,mainDictionary_repaired.csv,66,original,
2164,Jubṭí,Jubti,,N.F.,n.f.,,,See Jubṛí,,See Jubṛí,,,mainDictionary_repaired.csv,66,original,
2165,Judh,Judh,,NOUN,n.m.,,S. Yuddha,"War, a fight",,"War, a fight",,,mainDictionary_repaired.csv,66,original,
2166,Judh-mámlá,Judh-mamla,,NOUN,n.m.,,,Fighting,,Fighting,,,mainDictionary_repaired.csv,66,original,
2167,Jugálé,Jugale,,NOUN,n.m. pl.,,,Watchmen,,Watchmen,,,mainDictionary_repaired.csv,66,original,
2168,Jugtié,Jugtie,,ADV.,adv.,,,"Carefully, attentively",,"Carefully, attentively",,,mainDictionary_repaired.csv,67,original,
2169,Jugut,Jugut,,N.F.,n.f.,,,"(1) Fitness, good accommodation; (2) Connection",,"(1) Fitness, good accommodation; (2) Connection",,,mainDictionary_repaired.csv,67,original,
2170,Juhár or jhwár,Juhar or jhwar,,NOUN,n.m.,,,(1) A present; (2) The present in cash made to a chief at an audience of greeting,,(1) A present; (2) The present in cash made to a chief at an audience of greeting,,,mainDictionary_repaired.csv,67,original,
2171,Juhárṇu,Juharnu,,V.T.,v.t. re.,,,"To offer one's humble respects, to salute",,"To offer one's humble respects, to salute",,"f. -í, pl. -é. Also jhwárṇu",mainDictionary_repaired.csv,67,original,
2172,Jujh,Jujh,,NOUN,n.m.,,"S. Yuddha, a fight","Fighting, war",,"Fighting, war",,"-láṇá, v.t. re. To fight; -lágná, v.i. re. To begin fighting",mainDictionary_repaired.csv,67,original,
2173,Jujhdá,Jujhda,,P.P.,p.p.,,,Fighting,,Fighting,,"f. -í, pl. -é",mainDictionary_repaired.csv,67,original,
2174,Jujhṇu,Jujhnu,,V.T.,v.t. re.,,,To fight,,To fight,,"f. -í, pl. -é",mainDictionary_repaired.csv,67,original,
2175,Jujhiá or jujhiṛó,Jujhia or jujhiro,,P.P.,p.p.,,,Having fought,,Having fought,,,mainDictionary_repaired.csv,67,original,
2176,Jujhu-húňḍu,Jujhu-hundu,,P.P.,p.p.,,,Fought,,Fought,,"f. -í, pl. -é",mainDictionary_repaired.csv,67,original,
2177,Jukhám,Jukham,,NOUN,n.m.,,P. zuqām,Cold and cough,,Cold and cough,,"-hoṇá, v.s. re. To suffer from cold and cough (Also jukhám-hoṇá)",mainDictionary_repaired.csv,67,original,
2178,Julfiá or julfiyá,Julfia or julfiya,,NOUN,n.m.,,,One who has curls,,One who has curls,,,mainDictionary_repaired.csv,67,original,
2179,Julfó,Julfo,,NOUN,n.m. pl.,,P. zulf,Curls,,Curls,,,mainDictionary_repaired.csv,67,original,
2180,Jummó,Jummo,,NOUN,n.m.,,P. zimmah,Responsibility,,Responsibility,,"-karṇu, v.t. re. To be responsible",mainDictionary_repaired.csv,67,original,
2181,Juň,Jun,,NOUN,n.m.,,,Yoke,,Yoke,,,mainDictionary_repaired.csv,67,original,
2182,Jun or juniéň,Jun or junien,,REL.,rel. pro.,,,Who or by whom,,Who or by whom,,The latter form is agentive,mainDictionary_repaired.csv,67,original,
2183,Júṇ,Jun,,NOUN,n.m.,,S. Droṇa,A grain measure equal to 16 páthás or 2 aṛhás,,A grain measure equal to 16 páthás or 2 aṛhás,,,mainDictionary_repaired.csv,67,original,
2184,Jú'ṇ,Ju'n,,N.F.,n.f.,,,Moonlight or the moon,,Moonlight or the moon,,"-lágní, v.s. re. To shine (the moon)",mainDictionary_repaired.csv,67,original,
2185,Júṇ,Jun,,N.F.,n.f.,,,A meal,,A meal,,"Dují-júṇ, The next meal",mainDictionary_repaired.csv,67,original,
2186,Juňḍkú,Jundku,,NOUN,n.m.,,,See Juṭí,,See Juṭí,,,mainDictionary_repaired.csv,67,original,
2187,Juṇí,Juni,,N.F.,n.f.,,,Revenue in kind,,Revenue in kind,,Also Lárá-guṇí,mainDictionary_repaired.csv,67,original,
2188,Juniéň,Junien,,REL.,rel. pro. (Agentive),,,By whom or by which,,By whom or by which,,,mainDictionary_repaired.csv,67,original,
2189,Juṛí-jáṇu,Juri-janu,,V.T.,v.t. re.,,,To be engaged (in battle),,To be engaged (in battle),,,mainDictionary_repaired.csv,67,original,
2190,Jurjí-páṇí,Jurji-pani,,V.I.,v.i. re.,,,"To set against, to set by the ears",,"To set against, to set by the ears",,,mainDictionary_repaired.csv,67,original,
2191,Júṭh,Juth,,N.F.,n.f.,,,"Uncleanliness, pollution",,"Uncleanliness, pollution",,,mainDictionary_repaired.csv,67,original,
2192,Júṭhá or -u,Jutha or -u,,ADJ.,adj.,,,Polluted by tasting,,Polluted by tasting,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,67,original,
2193,Júṭhaṇ,Juthan,,N.F.,n.f.,,,Pollution by tasting,,Pollution by tasting,,,mainDictionary_repaired.csv,67,original,
2194,Jutháṇyá,Juthanya,,NOUN,n.m.,,S. Dwisthānīya,The second son of a chief,,The second son of a chief,,Also duṭháṇyá,mainDictionary_repaired.csv,67,original,
2195,Júṭhdá,Juthda,,P.P.,p.p.,,,Cleaning the hands and mouth after taking food,,Cleaning the hands and mouth after taking food,,,mainDictionary_repaired.csv,67,original,
2196,Júṭhiá or júṭhiṛó,Juthia or juthiro,,P.P.,p.p.,,,Having cleaned the hands and mouth,,Having cleaned the hands and mouth,,,mainDictionary_repaired.csv,67,original,
2197,Júṭhṇu,Juthnu,,V.I.,v.i. re.,,,To clean the hands and mouth after taking food,,To clean the hands and mouth after taking food,,,mainDictionary_repaired.csv,67,original,
2198,Júṭhú,Juthu,,ADJ.,adj.,,,Polluted by tasting,,Polluted by tasting,,"f. -í, pl. -é",mainDictionary_repaired.csv,67,original,
2199,Juṭdá,Jutda,,P.P.,p.p.,,,Being engaged in any work,,Being engaged in any work,,"f. -í, pl. -é",mainDictionary_repaired.csv,67,original,
2200,Juṭí,Juti,,N.F.,n.f.,,,Braided hair of a maiden,,Braided hair of a maiden,,,mainDictionary_repaired.csv,67,original,
2201,Juṭiá or Juṭiṛó,Jutia or Jutiro,,P.P.,p.p.,,,Having been engaged,,Having been engaged,,,mainDictionary_repaired.csv,67,original,
2202,Juṭṇu,Jutnu,,V.I.,v.i. re.,,,"To be engaged, to be at work",,"To be engaged, to be at work",,"f. -í, pl. -é",mainDictionary_repaired.csv,67,original,
2203,Juṭu-huňḍu,Jutu-hundu,,P.P.,p.p.,,,Engaged,,Engaged,,,mainDictionary_repaired.csv,67,original,
2204,Juwṛá,Juwra,,NOUN,n.m.,,,A broom (used in Bhajjí),,A broom (used in Bhajjí),,,mainDictionary_repaired.csv,67,original,
2205,Jwádrí,Jwadri,,N.F.,n.f.,,,A butterfly,,A butterfly,,pl. Jwádrí. Syn. Fimfrí,mainDictionary_repaired.csv,67,original,
2206,Jwáíň,Jwain,,NOUN,n.m.,,S. Jāmātṛi,Son-in-law,,Son-in-law,,,mainDictionary_repaired.csv,67,original,
2207,Jwáṇ,Jwan,,N.F.,n.f.,,S. Ajamodā,"(1) The common carroway (Carum carui); a kind of lovage (Lingusticum ajwaen, Rox.); (2) A kind of parsley (Apium involucratum), said to mean, 'That which pleases a goat.'",,"(1) The common carroway (Carum carui); a kind of lovage (Lingusticum ajwaen, Rox.); (2) A kind of parsley (Apium involucratum), said to mean, 'That which pleases a goat.'",,,mainDictionary_repaired.csv,68,original,
2208,Jwáň,Jwan,,NOUN,n.m.,,,"A youth, an adult; adj. Young",,"A youth, an adult; adj. Young",,"-ṭá, n.m.; -ṭí, n.f. One in his teens",mainDictionary_repaired.csv,68,original,
2209,Jwáňs,Jwans,,N.F.,n.f.,,,"A female, a woman",,"A female, a woman",,,mainDictionary_repaired.csv,68,original,
2210,Jyu,Jyu,,NOUN,n.m.,,,See Jíú,,See Jíú,,,mainDictionary_repaired.csv,68,original,
2211,Jyúň,Jyun,,NOUN,n.m.,,,See Jíúň,,See Jíúň,,,mainDictionary_repaired.csv,68,original,
2212,Ká,Ka,,PRO.,pro.,,,What? Which?,,What? Which?,,As Ká bolo ju? 'What do you say?',mainDictionary_repaired.csv,68,original,
2213,Kaá or kaú?,Kaa or kau?,,ADV.,adv.,,,How many?,,How many?,,,mainDictionary_repaired.csv,68,original,
2214,Kabai,Kabai,,ADV.,adv.,,,"When, at what time",,"When, at what time",,"-kabay, adv. Sometimes",mainDictionary_repaired.csv,68,original,
2215,Kabát,Kabat,,N.F.,n.f.,,P. qabāḥat,"Inconvenience, objection",,"Inconvenience, objection",,"-hoṇí, v.i. ir. To be inconvenient",mainDictionary_repaired.csv,68,original,
2216,Kabré,Kabre,,ADV.,adv.,,,At what time?,,At what time?,,,mainDictionary_repaired.csv,68,original,
2217,Kách,Kach,,NOUN,n.m.,,H. kāch,(1) Glass; (2) A necklace of beads,,(1) Glass; (2) A necklace of beads,,,mainDictionary_repaired.csv,68,original,
2218,Kachá or -ú,Kacha or -u,,ADJ.,adj.,,,"Unripe, not well cooked, only half cooked",,"Unripe, not well cooked, only half cooked",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,68,original,
2219,Kachh,Kachh,,NOUN,n.m.,,S. kakṣha,The armpit,,The armpit,,,mainDictionary_repaired.csv,68,original,
2220,Kachhírí,Kachhiri,,N.F.,n.f.,,,A rope to bind a load,,A rope to bind a load,,"-láṇí, v.i. re. To bind a load to carry it away",mainDictionary_repaired.csv,68,original,
2221,Kadash,Kadash,,N.F.,n.f.,,S. Ekādashī,The eleventh day of the bright or dark half of a month,,The eleventh day of the bright or dark half of a month,,,mainDictionary_repaired.csv,68,original,
2222,Kadí,Kadi,,ADV.,adv.,,,When; At what time,,When; At what time,,"-ní, adv. Never",mainDictionary_repaired.csv,68,original,
2223,Kadí-jáň,Kadi-jan,,ADV.,adv.,,,Long ago,,Long ago,,,mainDictionary_repaired.csv,68,original,
2224,Kadí-ní,Kadi-ni,,ADV.,adv.,,,Never,,Never,,,mainDictionary_repaired.csv,68,original,
2225,Kadká or -ú,Kadka or -u,,ADJ.,adj.,,,Long ago,,Long ago,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,68,original,
2226,Káfal or káffal,Kafal or kaffal,,NOUN,n.m. pl.,,,A kind of wild tree or its fruits,,A kind of wild tree or its fruits,,"-pákṇé, v.i. re. To ripen, of wild fruits",mainDictionary_repaired.csv,68,original,
2227,Kafan,Kafan,,NOUN,n.m.,,,"Coffin, shroud",,"Coffin, shroud",,"f. -í, A coffin",mainDictionary_repaired.csv,68,original,
2228,Kafní,Kafni,,N.F.,n.f.,,,See Kafan,,See Kafan,,,mainDictionary_repaired.csv,68,original,
2229,Kágat,Kagat,,NOUN,n.m.,,P. kāgaz,Paper,,Paper,,,mainDictionary_repaired.csv,68,original,
2230,Kaháthat,Kahathat,,ADJ.,adj.,,,Sixty-one,,Sixty-one,,"-wáň, adj. Sixty-first",mainDictionary_repaired.csv,68,original,
2231,Kahattar,Kahattar,,ADJ.,adj.,,,Seventy-one,,Seventy-one,,"-wáň, adj. Seventy-first",mainDictionary_repaired.csv,68,original,
2232,Kahlú-bír,Kahlu-bir,,NOUN,n.m.,,,A spirit who lives on the mountains and whose anger causes landslips. It must be appeased with sacrifice (Chambá).,,A spirit who lives on the mountains and whose anger causes landslips. It must be appeased with sacrifice (Chambá).,,,mainDictionary_repaired.csv,68,original,
2233,Kai,Kai,,ADJ.,adj.,,H. kaī,"Too many, a great many",,"Too many, a great many",,,mainDictionary_repaired.csv,68,original,
2234,Kái,Kai,,N.F.,n.f.,,,(1) Moss; (2) Desire,,(1) Moss; (2) Desire,,,mainDictionary_repaired.csv,68,original,
2235,Kail,Kail,,N.F.,n.f.,,,The blue pine,,The blue pine,,"-ṭí, n.f. A small blue pine tree",mainDictionary_repaired.csv,68,original,
