id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes
121,Aukhá,Aukha,,ADJ.,adj.,,,"In trouble, also difficult",,"In trouble, also difficult",,"m., f. -í, pl. -é",mainDictionary_repaired.csv,11,original,
122,Aukhí,Aukhi,,N.F.,n.f.,,,"Difficulty, trouble",,"Difficulty, trouble",,,mainDictionary_repaired.csv,11,original,
123,Auňshu,Aunshu,,ADV.,adv.,,,See Ainshu,,See Ainshu,,,mainDictionary_repaired.csv,11,original,
124,Aurá,Aura,,ADJ.,adj.,,,"Unfilled, half filled",,"Unfilled, half filled",,"m., f. -í, pl. -é. Also auru.",mainDictionary_repaired.csv,11,original,
125,Auré-bhág,Aure-bhag,,NOUN,n.m.,,,"Evil fate, unluckiness",,"Evil fate, unluckiness",,,mainDictionary_repaired.csv,11,original,
126,Auth,Auth,,N.F.,n.f.,,,"The right of the youngest brother to an extra share for his marriage expenses, if he be unmarried.",,"The right of the youngest brother to an extra share for his marriage expenses, if he be unmarried.",,,mainDictionary_repaired.csv,11,original,
127,Áwaṇu,Awanu,,V.T.,v.t. re.,,,To come,,To come,,"f. -í, pl. -é. Also áwṇá.",mainDictionary_repaired.csv,11,original,
128,Áwi-jáṇu,Awi-janu,,V.I.,v.i. ir.,,,To arrive,,To arrive,,"f. -í, pl. -é",mainDictionary_repaired.csv,11,original,
129,Awuň,Awun,,PRO.,pro.,,,I (1st pers. sing.),,I (1st pers. sing.),,"Also Añ. It becomes muñ with the past tense of a transitive verb. As Muñ bolá tú nú de, 'I said, you should not go'",mainDictionary_repaired.csv,11,original,
130,"Awrú, -á","Awru, -a",,ADJ.,adj.,,,"Somewhat empty, not quite full",,"Somewhat empty, not quite full",,"m., f. -í, pl. -é",mainDictionary_repaired.csv,11,original,
131,Babá,Baba,,NOUN,n.m.,,,"Father, progenitor",,"Father, progenitor",,,mainDictionary_repaired.csv,11,original,
132,Bábru,Babru,,NOUN,n.m.,,,A kind of cake (always used in the plural),,A kind of cake (always used in the plural),,,mainDictionary_repaired.csv,11,original,
133,Ba'ch,Ba'ch,,N.F.,n.f.,,,"Dampness, wet",,"Dampness, wet",,,mainDictionary_repaired.csv,11,original,
134,Bachár,Bachar,,NOUN,n.m.,,S. Vichára,A curse,,A curse,,"-deṇe, v.t. re. To curse",mainDictionary_repaired.csv,11,original,
135,Bacháwṇu,Bachawnu,,V.T.,v.t. re.,,,To save,,To save,,,mainDictionary_repaired.csv,11,original,
136,Báchchhá,Bachchha,,NOUN,n.m.,,P. pádsháh,"A king, emperor",,"A king, emperor",,,mainDictionary_repaired.csv,11,original,
137,Bachér,Bacher,,NOUN,n.m.,,,Storing curds and butter (instead of eating them) in order to make clarified butter,,Storing curds and butter (instead of eating them) in order to make clarified butter,,,mainDictionary_repaired.csv,11,original,
138,Bachnó-de-áṇṇu,Bachno-de-annu,,V.T.,v.t. re.,,,"To conciliate, to compromise",,"To conciliate, to compromise",,"f. -í, pl. -é",mainDictionary_repaired.csv,11,original,
139,Bachháwaṇi,Bachhawani,,N.F.,n.f.,,,A subscription,,A subscription,,"-páṇí, v.t. re. To subscribe",mainDictionary_repaired.csv,11,original,
140,Bachháwṇu,Bachhawnu,,V.T.,v.t. re.,,,To spread or lay out (a bed),,To spread or lay out (a bed),,,mainDictionary_repaired.csv,11,original,
141,Bachháwuṇ,Bachhawun,,N.F.,n.f.,,,A broom,,A broom,,"-deṇú, v.t. re. To sweep",mainDictionary_repaired.csv,12,original,
142,Bachháṇu,Bachhanu,,V.T.,v.t. re.,,bichháná,(1) To spread a bed; (2) To subscribe,,(1) To spread a bed; (2) To subscribe,,"f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
143,"Báchhú, or -á","Bachhu, or -a",,NOUN,n.m.,,,A calf,,A calf,,pl. -é,mainDictionary_repaired.csv,12,original,
144,Bachṇu,Bachnu,,V.A.,v.a. re.,,,To escape,,To escape,,"f. -í, pl. -é",mainDictionary_repaired.csv,12,original,
145,Badal,Badal,,NOUN,n.m.,,,"An answer, a reply",,"An answer, a reply",,"-deṇá, v.t. ir. To reply",mainDictionary_repaired.csv,12,original,
146,Badám,Badam,,NOUN,n.m. pl.,,H. bádám,Almonds,,Almonds,,,mainDictionary_repaired.csv,12,original,
147,Badár,Badar,,NOUN,n.m.,,,A kinsman,,A kinsman,,"-ṇú, v.a. re. To act like a kinsman",mainDictionary_repaired.csv,12,original,
148,Badárú,Badaru,,NOUN,n.m.,,,(1) A sept of Kanets; (2) A parganá in the Bashahr State,,(1) A sept of Kanets; (2) A parganá in the Bashahr State,,,mainDictionary_repaired.csv,12,original,
149,Badhá,Badha,,NOUN,n.m.,,,"Enhancement, increase in taxes",,"Enhancement, increase in taxes",,,mainDictionary_repaired.csv,12,original,
