id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
846,Chungṇu,Chungnu,,V.T.,v.t. re.,,,"To take up, to lift up; to pick",,"To take up, to lift up; to pick",,"f. -í, pl. -é",mainDictionary_repaired.csv,30,original,,t͡ʃungṇu,च/छungṇu,low,unmapped_chars_sample='ungṇu' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'n', 'pos': 3}, {'matched': None, 'char': 'g', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}, {'matched': None, 'char': 'u', 'pos': 6}]"
847,Chuňgú or chuňgú-bír,Chungu or chungu-bir,,NOUN,n.m.,,,"A male spirit, under a sorcerer's control, and employed to bring things to him. It also drinks the milk of cows and brings milk, ghī, etc., to its owner.",,"A male spirit, under a sorcerer's control, and employed to bring things to him. It also drinks the milk of cows and brings milk, ghī, etc., to its owner.",,"used in Chambá and the Simlá Hills, respectively",mainDictionary_repaired.csv,30,original,,t͡ʃuňgú or t͡ʃuňgú-bír,च/छuňgú ओr च/छuňgú-bír,low,unmapped_chars_sample='uňgú r' count=15,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ň', 'pos': 3}, {'matched': None, 'char': 'g', 'pos': 4}, {'matched': None, 'char': 'ú', 'pos': 5}, {'matched': None, 'char': ' ', 'pos': 6}]"
848,Chún-pún,Chun-pun,,NOUN,n.m.,,,Goodness,,Goodness,,,mainDictionary_repaired.csv,30,original,,t͡ʃún-pún,च/छún-pún,low,unmapped_chars_sample='ún-pún' count=6,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'n', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'p', 'pos': 5}, {'matched': None, 'char': 'ú', 'pos': 6}]"
849,Chup,Chup,,NOUN,n.m.,,H. chup,Silence,,Silence,,"-karṇí, v.i. re. To be silent",mainDictionary_repaired.csv,30,original,,t͡ʃup,च/छup,low,unmapped_chars_sample='up' count=2,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'p', 'pos': 3}]"
850,Chupá or -u,Chupa or -u,,ADJ.,adj.,,,"Silent, quiet, tranquil",,"Silent, quiet, tranquil",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,30,original,,t͡ʃupá or -u,च/छupá ओr -u,low,unmapped_chars_sample='upá r ' count=8,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'p', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 6, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
851,Chupe-rauṇu,Chupe-raunu,,V.I.,v.i. ir.,,,"To keep quiet, to be silent",,"To keep quiet, to be silent",,,mainDictionary_repaired.csv,30,original,,t͡ʃupe-rauṇu,च/छupए-rअuṇu,low,unmapped_chars_sample='up-ruṇ' count=7,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'p', 'pos': 3}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 4, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': '-', 'pos': 5}, {'matched': None, 'char': 'r', 'pos': 6}]"
852,Chúrá,Chura,,NOUN,n.m.,,,"Powder, dust, saw-dust",,"Powder, dust, saw-dust",,,mainDictionary_repaired.csv,30,original,,t͡ʃúrá,च/छúrá,low,unmapped_chars_sample='úrá' count=3,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
853,Chúṛí,Churi,,N.F.,n.f. pl.,,,Bangles made of lac or glass,,Bangles made of lac or glass,,,mainDictionary_repaired.csv,30,original,,t͡ʃúṛí,च/छúṛí,low,unmapped_chars_sample='úṛí' count=3,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'ṛ', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
854,Churk-churk-láṇí or karṇí,Churk-churk-lani or karni,,V.T.,v.t. re.,,,To chew anything hard,,To chew anything hard,,,mainDictionary_repaired.csv,30,original,,t͡ʃurk-t͡ʃurk-láṇí or karṇí,च/छurk-च/छurk-láṇí ओr kअrṇí,low,unmapped_chars_sample='urk-ur' count=19,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 6, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}]"
855,Churṇu,Churnu,,V.T.,v.t. re.,,,To crush,,To crush,,"f. -í, pl. -é",mainDictionary_repaired.csv,30,original,,t͡ʃurṇu,च/छurṇu,low,unmapped_chars_sample='urṇu' count=4,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
856,Chúṇu,Chunu,,V.I.,v.i. re.,,,To leak,,To leak,,"f. -í, pl. -é",mainDictionary_repaired.csv,30,original,,t͡ʃúṇu,च/छúṇu,low,unmapped_chars_sample='úṇu' count=3,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
857,Churwṇu,Churwnu,,V.I.,v.i. re.,,,To be crushed,,To be crushed,,"f. -í, pl. -é",mainDictionary_repaired.csv,30,original,,t͡ʃurwṇu,च/छurwṇu,low,unmapped_chars_sample='urwṇu' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}, {'matched': None, 'char': 'u', 'pos': 6}]"
858,Chushṇu,Chushnu,,V.T.,v.t. re.,,,"To suck, to absorb",,"To suck, to absorb",,"f. -í, pl. -é",mainDictionary_repaired.csv,30,original,,t͡ʃushṇu,च/छushṇu,low,unmapped_chars_sample='ushṇu' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 's', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}, {'matched': None, 'char': 'u', 'pos': 6}]"
859,Chúṭ,Chut,,N.F.,n.f.,,,(1) Breakage; (2) The act of breaking or decreasing; (3) Deficiency,,(1) Breakage; (2) The act of breaking or decreasing; (3) Deficiency,,,mainDictionary_repaired.csv,30,original,,t͡ʃúṭ,च/छúṭ,low,unmapped_chars_sample='úṭ' count=2,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'ṭ', 'pos': 3}]"
860,Chutiyá,Chutiya,,ADJ.,adj.,,,"Fool, ignorant",,"Fool, ignorant",,m. and f. pl. -é,mainDictionary_repaired.csv,30,original,,t͡ʃutiyá,च/छutiyá,low,unmapped_chars_sample='utiyá' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 't', 'pos': 3}, {'matched': None, 'char': 'i', 'pos': 4}, {'matched': None, 'char': 'y', 'pos': 5}, {'matched': None, 'char': 'á', 'pos': 6}]"
861,Chutṛṇu,Chutrnu,,V.I.,v.i. re.,,,To be broken,,To be broken,,,mainDictionary_repaired.csv,30,original,,t͡ʃutṛṇu,च/छutṛṇu,low,unmapped_chars_sample='utṛṇu' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 't', 'pos': 3}, {'matched': None, 'char': 'ṛ', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}, {'matched': None, 'char': 'u', 'pos': 6}]"
862,Chutṛi-jáṇu,Chutri-janu,,V.I.,v.i. re.,,,To be broken,,To be broken,,,mainDictionary_repaired.csv,30,original,,t͡ʃutṛi-jáṇu,च/छutṛi-jáṇu,low,unmapped_chars_sample='utṛi-j' count=9,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 't', 'pos': 3}, {'matched': None, 'char': 'ṛ', 'pos': 4}, {'matched': None, 'char': 'i', 'pos': 5}, {'matched': None, 'char': '-', 'pos': 6}]"
863,Chutpaṇá,Chutpana,,NOUN,n.m.,,,Folly,,Folly,,,mainDictionary_repaired.csv,31,original,,t͡ʃutpaṇá,च/छutpअṇá,low,unmapped_chars_sample='utpṇá' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 't', 'pos': 3}, {'matched': None, 'char': 'p', 'pos': 4}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 5, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'ṇ', 'pos': 6}]"
864,Chwáňní,Chwanni,,N.F.,n.f.,,H. chawannī,The coin of four annas,,The coin of four annas,,,mainDictionary_repaired.csv,31,original,,t͡ʃwáňní,च/छwáňní,low,unmapped_chars_sample='wáňní' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'w', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'ň', 'pos': 4}, {'matched': None, 'char': 'n', 'pos': 5}, {'matched': None, 'char': 'í', 'pos': 6}]"
865,Chyaúň,Chyaun,,NOUN,n.m.,,,See Cheúň,,See Cheúň,,,mainDictionary_repaired.csv,31,original,,t͡ʃyaúň,च/छyअúň,low,unmapped_chars_sample='yúň' count=3,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'y', 'pos': 2}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 3, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'ú', 'pos': 4}, {'matched': None, 'char': 'ň', 'pos': 5}]"
866,Chyáwaṇ,Chyawan,,NOUN,n.m.,,"Fr. chí, pine, and ban, forest",A pine-forest,,A pine-forest,,,mainDictionary_repaired.csv,31,original,,t͡ʃyáwaṇ,च/छyáwअṇ,low,unmapped_chars_sample='yáwṇ' count=4,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'y', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 5, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'ṇ', 'pos': 6}]"
867,Chyeṭṭá,Chyetta,,ADJ.,adj. m.,,,See Cheṭṭá,,See Cheṭṭá,,,mainDictionary_repaired.csv,31,original,,t͡ʃyeṭṭá,च/छyएṭṭá,low,unmapped_chars_sample='yṭṭá' count=4,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'y', 'pos': 2}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 3, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': 'ṭ', 'pos': 4}, {'matched': None, 'char': 'ṭ', 'pos': 5}, {'matched': None, 'char': 'á', 'pos': 6}]"
868,Dá or -ú,Da or -u,,MASC.,masc. affix,,,"In, into, within",,"In, into, within",,Examples: Indá dúd ní áňthí. 'There is no milk in it.' Loṭédá chísh ní rauwí. 'There is no water in the jug.' Tiňdé michh bi rau? 'Do men live in them?' Tiňdú kuṇ thu? 'Who was in that (house)?',mainDictionary_repaired.csv,31,original,,Dá or -ú,Dá ओr -ú,low,unmapped_chars_sample='Dá r -' count=7,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': ' ', 'pos': 2}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 3, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
869,Dá,Da,,N.F.,n.f.,,,"A jump, a spring, a bound",,"A jump, a spring, a bound",,,mainDictionary_repaired.csv,31,original,,Dá,Dá,low,unmapped_chars_sample='Dá' count=2,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}]"
870,Dá'b,Da'b,,NOUN,n.m.,,,Pressure,,Pressure,,"-deṇá, v.t. re. To press",mainDictionary_repaired.csv,31,original,,Dá'b,Dá'b,low,unmapped_chars_sample='Dá'b' count=4,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': ""'"", 'pos': 2}, {'matched': None, 'char': 'b', 'pos': 3}]"
871,Dabá,Daba,,NOUN,n.m.,,,A round wooden box,,A round wooden box,,"f. -í, A small round box; pl. -é",mainDictionary_repaired.csv,31,original,,Dabá,Dअbá,low,unmapped_chars_sample='Dbá' count=3,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
872,Dábá,Daba,,NOUN,n.m.,,,Plaster (medical),,Plaster (medical),,"-deṇá or -láṇá, v.t. re. To apply a plaster",mainDictionary_repaired.csv,31,original,,Dábá,Dábá,low,unmapped_chars_sample='Dábá' count=4,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
873,Dabāw,Dabaw,,NOUN,n.m.,,,Pressure,,Pressure,,"-deṇá, v.t. re. To press",mainDictionary_repaired.csv,31,original,,Dabaːw,Dअbआw,low,unmapped_chars_sample='Dbw' count=3,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'w', 'pos': 4}]"
874,Dabáwṇu,Dabawnu,,V.T.,v.t. re.,,,To press down,,To press down,,"f. -í, pl. -é",mainDictionary_repaired.csv,31,original,,Dabáwṇu,Dअbáwṇu,low,unmapped_chars_sample='Dbáwṇu' count=6,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
875,Dabṇu,Dabnu,,V.I.,v.i. re.,,,To be pressed,,To be pressed,,"f. -í, pl. -é",mainDictionary_repaired.csv,31,original,,Dabṇu,Dअbṇu,low,unmapped_chars_sample='Dbṇu' count=4,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
876,Dábṇu,Dabnu,,V.T.,v.t. re.,,,To press,,To press,,"f. -í, pl. -é",mainDictionary_repaired.csv,31,original,,Dábṇu,Dábṇu,low,unmapped_chars_sample='Dábṇu' count=5,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
877,Dábr,Dabr,,N.F.,n.f.,,,A small pond or tank,,A small pond or tank,,"f. -í, A very small pond or temple tank",mainDictionary_repaired.csv,31,original,,Dábr,Dábr,low,unmapped_chars_sample='Dábr' count=4,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}]"
878,Dá'ch or Drá't,Da'ch or Dra't,,NOUN,n.m.,,,A large sickle,,A large sickle,,"f. -í, A small sickle. -ṭu or -ṭí, A small sickle to cut grass",mainDictionary_repaired.csv,31,original,,Dá't͡ʃ or Drá't,Dá'च/छ ओr Drá't,low,unmapped_chars_sample='Dá' r ' count=11,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': ""'"", 'pos': 2}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 3, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': ' ', 'pos': 5}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 6, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
879,Dadá,Dada,,NOUN,n.m.,,,Grandfather,,Grandfather,,"pl. -é; f. -í, Grandmother",mainDictionary_repaired.csv,31,original,,Dadá,Dअdá,low,unmapped_chars_sample='Ddá' count=3,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
880,Dadháṇá,Dadhana,,NOUN,n.m.,,,"The melon fruit, tarbúj in Hindī",,"The melon fruit, tarbúj in Hindī",,,mainDictionary_repaired.csv,31,original,,Dadháṇá,Dअdháṇá,low,unmapped_chars_sample='Ddháṇá' count=6,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
881,Dadiyá,Dadiya,,,,,,A term of address; O my friend,,A term of address; O my friend,,f. -í,mainDictionary_repaired.csv,31,original,,Dadiyá,Dअdiyá,low,unmapped_chars_sample='Ddiyá' count=5,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'i', 'pos': 3}, {'matched': None, 'char': 'y', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
882,Daf,Daf,,NOUN,n.m.,,,A kettledrum,,A kettledrum,,"-ru, n.m. A kind of small kettledrum",mainDictionary_repaired.csv,31,original,,Daf,Dअf,low,unmapped_chars_sample='Df' count=2,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'f', 'pos': 2}]"
883,Dáflí,Dafli,,N.F.,n.f.,,,A small recess in a wall,,A small recess in a wall,,Syn. Ṭírá or Ṭírí,mainDictionary_repaired.csv,31,original,,Dáflí,Dáflí,low,unmapped_chars_sample='Dáflí' count=5,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'f', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
884,Dá'g,Da'g,,N.F.,n.f.,,,A witch,,A witch,,"-lágní, v.s. re. To be influenced by a witch",mainDictionary_repaired.csv,31,original,,Dá'g,Dá'g,low,unmapped_chars_sample='Dá'g' count=4,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': ""'"", 'pos': 2}, {'matched': None, 'char': 'g', 'pos': 3}]"
885,Dá'g,Da'g,,NOUN,n.m.,,,(1) Cremation; (2) A spot,,(1) Cremation; (2) A spot,,"-deṇá, v.t. re. To cremate",mainDictionary_repaired.csv,31,original,,Dá'g,Dá'g,low,unmapped_chars_sample='Dá'g' count=4,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': ""'"", 'pos': 2}, {'matched': None, 'char': 'g', 'pos': 3}]"
886,Dagá,Daga,,NOUN,n.m.,,P. dagā,"Pretence, a trick",,"Pretence, a trick",,"-deṇá, v.t. re. To play a trick",mainDictionary_repaired.csv,31,original,,Dagá,Dअgá,low,unmapped_chars_sample='Dgá' count=3,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
887,Dagáňdrá,Dagandra,,NOUN,n.m.,,,A kind of disease in which an itching sensation is felt on the body,,A kind of disease in which an itching sensation is felt on the body,,"-láṇá, v.s. re. To suffer from that disease",mainDictionary_repaired.csv,31,original,,Dagáňdrá,Dअgáňdrá,low,unmapped_chars_sample='Dgáňdr' count=7,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'ň', 'pos': 4}, {'matched': None, 'char': 'd', 'pos': 5}]"
888,Dageṭú,Dagetu,,NOUN,n.m.,,,The children of a witch,,The children of a witch,,"f. -í, pl. -é",mainDictionary_repaired.csv,31,original,,Dageṭú,Dअgएṭú,low,unmapped_chars_sample='Dgṭú' count=4,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 3, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': 'ṭ', 'pos': 4}, {'matched': None, 'char': 'ú', 'pos': 5}]"
889,Daghélú,Daghelu,,NOUN,n.m.,,,Heels,,Heels,,,mainDictionary_repaired.csv,31,original,,Dagheːlú,Dअghए (lengthened)lú,low,unmapped_chars_sample='Dghlú' count=5,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 4, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}, {'matched': None, 'char': 'l', 'pos': 5}]"
890,Dágí,Dagi,,NOUN,n.m. and f.,,,A low-caste people who render menial services,,A low-caste people who render menial services,,Also kólí and dághí,mainDictionary_repaired.csv,31,original,,Dágí,Dágí,low,unmapped_chars_sample='Dágí' count=4,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}]"
891,Dagle,Dagle,,ADJ.,adj.,,,Bitter,,Bitter,,Proverb: Hát merie Bághelá; Jaṭhá ban búṭí bi ḍagle. 'What is to be said of Bághal State; Where even the wild plants are bitter.',mainDictionary_repaired.csv,31,original,,Daɡle,Dअगल/ग्लए,low,unmapped_chars_sample='D' count=1,"[{'matched': None, 'char': 'D', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': 'gl', 'ipa': 'ɡl', 'deva': 'गल/ग्ल', 'pos': 2, 'len': 2, 'note': ""consonant cluster 'g' + 'l'""}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 4, 'len': 1, 'note': 'Mid-front vowel'}]"
