id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
450,Buglí,Bugli,,N.F.,n.f.,,,Wrapping up the body in a sheet,,Wrapping up the body in a sheet,,"-páṇí, v.s. re. To wrap up one's body in a sheet",mainDictionary_repaired.csv,19,original,,Buɡlí,Buगल/ग्लí,low,unmapped_chars_sample='Buí' count=3,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': 'gl', 'ipa': 'ɡl', 'deva': 'गल/ग्ल', 'pos': 2, 'len': 2, 'note': ""consonant cluster 'g' + 'l'""}, {'matched': None, 'char': 'í', 'pos': 4}]"
451,Bujhṇu,Bujhnu,,V.T.,v.t. re.,,H. bújhṇá,"To understand, to know",,"To understand, to know",,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,Bujhṇu,Bujhṇu,low,unmapped_chars_sample='Bujhṇu' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'j', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
452,Bujhṇwálá,Bujhnwala,,NOUN,n.m.,,,One who understands or knows,,One who understands or knows,,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,Bujhṇwálá,Bujhṇwálá,low,unmapped_chars_sample='Bujhṇw' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'j', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'w', 'pos': 5}]"
453,Bulák,Bulak,,NOUN,n.m.,,,See Blá'k,,See Blá'k,,,mainDictionary_repaired.csv,20,original,,Bulák,Bulák,low,unmapped_chars_sample='Bulák' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}]"
454,Buláṇu,Bulanu,,V.T.,v.t. re.,,H. buláná,"To call, to invite",,"To call, to invite",,,mainDictionary_repaired.csv,20,original,,Buláṇu,Buláṇu,low,unmapped_chars_sample='Buláṇu' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
455,Buňjá,Bunja,,ADJ.,adj.,,,52,,52,,,mainDictionary_repaired.csv,20,original,,Buňjá,Buňjá,low,unmapped_chars_sample='Buňjá' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'ň', 'pos': 2}, {'matched': None, 'char': 'j', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
456,Buṇ-ṇu,Bun-nu,,V.T.,v.t. re.,,H. bunná,To weave,,To weave,,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,Buṇ-ṇu,Buṇ-ṇu,low,unmapped_chars_sample='Buṇ-ṇu' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'ṇ', 'pos': 2}, {'matched': None, 'char': '-', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
457,Burá or -u,Bura or -u,,ADJ.,adj.,,,"Bad, wicked, not good",,"Bad, wicked, not good",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,Burá or -u,Burá ओr -u,low,unmapped_chars_sample='Burá r' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': ' ', 'pos': 4}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 5, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
458,Burá-bhájaṇá,Bura-bhajana,,V.I.,v.i. re.,,,To cease unhappiness,,To cease unhappiness,,,mainDictionary_repaired.csv,20,original,,Burá-bhájaṇá,Burá-bhájअṇá,low,unmapped_chars_sample='Burá-b' count=11,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'b', 'pos': 5}]"
459,Burá-lágná,Bura-lagna,,V.I.,v.i. re.,,,To be unhappy,,To be unhappy,,"-mánná, v.i. re. To be displeased",mainDictionary_repaired.csv,20,original,,Burá-lágná,Burá-lágná,low,unmapped_chars_sample='Burá-l' count=10,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'l', 'pos': 5}]"
