id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
3442,Parīti,Pariti,,N.F.,n.f.,,(S. Prīti 'love'),"(1) Friendship, love. (2) The state of being in good terms.",,"(1) Friendship, love. (2) The state of being in good terms.",,,mainDictionary_repaired.csv,103,original,,Parīti,Pअrīti,low,unmapped_chars_sample='Prīti' count=5,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'ī', 'pos': 3}, {'matched': None, 'char': 't', 'pos': 4}, {'matched': None, 'char': 'i', 'pos': 5}]"
3443,Parj,Parj,,N.F.,n.f.,,,The name of a tune or rāgnī.,,The name of a tune or rāgnī.,,,mainDictionary_repaired.csv,103,original,,Parj,Pअrj,low,unmapped_chars_sample='Prj' count=3,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'j', 'pos': 3}]"
3444,Pa'ṛj,Pa'rj,,N.F.,n.f.,,,A bow string.,,A bow string.,,"-chuṭnī, v.s. re. To break, of the string of a bow. -lānī, v.i. re. To put a string to a bow.",mainDictionary_repaired.csv,103,original,,Pa'ṛj,Pअ'ṛj,low,unmapped_chars_sample='P'ṛj' count=4,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': ""'"", 'pos': 2}, {'matched': None, 'char': 'ṛ', 'pos': 3}, {'matched': None, 'char': 'j', 'pos': 4}]"
3445,Parjā,Parja,,N.F.,n.f.,,,Subjects.,,Subjects.,,,mainDictionary_repaired.csv,103,original,,Parjaː,Pअrjआ,low,unmapped_chars_sample='Prj' count=3,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'j', 'pos': 3}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 4, 'len': 1, 'note': ""Long 'a' vowel""}]"
3446,Parmāṇ,Parman,,NOUN,n.m.,,"(S. Pramāṇa, a proof)",A certificate.,,A certificate.,,,mainDictionary_repaired.csv,103,original,,Parmaːṇ,Pअrmआṇ,low,unmapped_chars_sample='Prmṇ' count=4,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'm', 'pos': 3}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 4, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
3447,Parmésur,Parmesur,,NOUN,n.m.,,,See Parmeśur.,,See Parmeśur.,,,mainDictionary_repaired.csv,103,original,,Parmeːsur,Pअrmए (lengthened)sur,low,unmapped_chars_sample='Prmsur' count=6,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'm', 'pos': 3}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 4, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}, {'matched': None, 'char': 's', 'pos': 5}]"
3448,Paró,Paro,,NOUN,n.m.,,,Grain lent on interest.,,Grain lent on interest.,,,mainDictionary_repaired.csv,103,original,,Paroː,Pअrओ (lengthened),low,unmapped_chars_sample='Pr' count=2,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 3, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}]"
3449,Partishṭhā,Partishtha,,N.F.,n.f.,,"(S. Pratishṭhā, consecration)",A ceremony observed on entering a new house or temple.,,A ceremony observed on entering a new house or temple.,,"-karṇī, v.t. re. To consecrate.",mainDictionary_repaired.csv,103,original,,Partishṭhaː,Pअrtishṭhआ,low,unmapped_chars_sample='Prtish' count=8,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 't', 'pos': 3}, {'matched': None, 'char': 'i', 'pos': 4}, {'matched': None, 'char': 's', 'pos': 5}]"
3450,Pāṛū,Paru,,NOUN,n.m.,,,An earthen pot.,,An earthen pot.,,,mainDictionary_repaired.csv,103,original,,Paːṛuː,Pआṛऊ,low,unmapped_chars_sample='Pṛ' count=2,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 2}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 3, 'len': 1, 'note': ""Long 'u' vowel""}]"
3451,Pāshá,Pasha,,NOUN,n.m.,,,A die.,,A die.,,,mainDictionary_repaired.csv,103,original,,Paːshá,Pआshá,low,unmapped_chars_sample='Pshá' count=4,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
3452,Pashaiṇu,Pashainu,,V.I.,v.i. re.,,,To speak in a dream.,,To speak in a dream.,,,mainDictionary_repaired.csv,103,original,,Pashaiṇu,Pअshअiṇu,low,unmapped_chars_sample='Pshiṇu' count=6,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 4, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'i', 'pos': 5}]"
3453,Pashé,Pashe,,ADV.,adv.,,,Aside.,,Aside.,,"-lāgnī, v.i. re. (1) To be un-successful. (2) To miss.",mainDictionary_repaired.csv,103,original,,Pasheː,Pअshए (lengthened),low,unmapped_chars_sample='Psh' count=3,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 4, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}]"
