id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
610,kʰeliɳa,kheliɳa,,,OIA*khēll,viplay,играть kʰelɳaviplay играть (в игру) khelna kʰeʈɳavtчистить от мягкой кожуры,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
611,kʰɛbər,khɛbər,NOUN,5_f-Cnews,"Arab, Pers ḵẖabar",,новости,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
612,kʰɛɳɖ,khɛɳɖ,,,Punjabi khaṇḍ < khaṇḍu,n5_f-Csugar,сахар,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
613,kʰɛpra,khɛpra,NOUN,1_m-a,ɛ/ɐ IA languagekharpara,ritual mask of Phagri festival,ритуальная маска на празднике Пхагри1 2 1 2 232 of 40 7/7/2023 9:52 PM kʰɛraadjgood хороший,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
614,kʰɛrpa,khɛrpa,,,ɛ/ɐ IA languagekharpara + met,n1_m-a cobra,кобра kʰɛʈɳavtsave money копить (деньги),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
615,kʰəmbʰa,khəmbha,NOUN,1_m-a,Hinkhambha < skambhá,pillar,столб kʰərmani n 3_f-Vapricot абрикос,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
616,kʰilɳa,khilɳa,,,OIA*khill,vibloom,"раскрываться, цвести kʰirn 5_f-Ckheerкхир",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
617,kʰiɽa,khiɽa,,,Bad OIA word kṣīraka,n1_m-a cucumber,"огурец kʰisəkɳa vi1) moveпередвигаться 2) swerve уклоняться, отодвигаться kʰiskaɳa vtотодвигать kʰĩtsɳa vt1) pull тянуть 2) take pictures фотографировать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
618,kʰjaɳa,khjaɳa,,,Bad OIA word  khādayati,vtfeed,кормить kʰodzɳa vttell рассказывать batāna kʰodʒn 5_f-Csearch поиск,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
619,kʰolɳa,kholɳa,,,OIA*khōll,vt1) open,"открывать 2) pull outвынимать, выпускать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
620,kʰoɭ,khoɭ,NOUN,7_f-icourt,OIA*khōla,"yard, lawn","двор, терраса, палисадник",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
621,kʰoɽ,khoɽ,,,"неопознанный индоарийский язык, где kṣ>khkh IA languageakṣōṭa",n4_m-C walnut,грецкий орех,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
622,kʰɔɖna,khɔɖna,,,OIA*kaḍḍhati,vtpull out,вытаскивать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
623,kʰɔlɽi,khɔlɽi,,,OIAkhalla,n3_f-V1) leather,кожа 2) sheepskin овчина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
